year,constructorId,constructor_points_season
1950,6,21.0
1950,51,89.0
1950,87,0.0
1950,105,11.0
1950,107,0.0
1950,110,0.0
1950,113,14.0
1950,116,0.0
1950,119,0.0
1950,126,0.0
1950,129,0.0
1950,138,0.0
1950,141,3.0
1950,150,10.0
1950,151,0.0
1950,154,20.0
1950,156,0.0
1950,157,0.0
1950,158,0.0
1950,159,0.0
1950,160,0.0
1950,161,0.0
1950,162,0.0
1950,163,0.0
1951,6,86.0
1951,51,75.0
1951,66,2.0
1951,105,0.0
1951,107,0.0
1951,110,0.0
1951,111,0.0
1951,113,19.0
1951,114,0.0
1951,119,0.0
1951,126,0.0
1951,127,0.0
1951,133,0.0
1951,134,2.0
1951,135,0.0
1951,139,0.0
1951,141,0.0
1951,144,0.0
1951,149,3.0
1951,150,0.0
1951,151,0.0
1951,154,5.0
1951,155,0.0
1951,156,0.0
1952,6,120.5
1952,87,12.0
1952,105,8.5
1952,107,0.0
1952,110,3.0
1952,111,0.0
1952,113,13.0
1952,114,8.0
1952,125,5.0
1952,126,0.0
1952,127,0.0
1952,128,15.0
1952,129,0.0
1952,133,2.0
1952,139,0.0
1952,141,2.0
1952,144,0.0
1952,145,0.0
1952,147,0.0
1952,148,3.0
1952,149,0.0
1952,150,0.0
1952,151,0.0
1952,152,0.0
1952,153,0.0
1953,6,122.5
1953,87,0.0
1953,105,65.5
1953,107,0.0
1953,110,0.0
1953,113,24.0
1953,114,0.0
1953,125,0.0
1953,127,0.0
1953,128,4.0
1953,129,0.0
1953,133,0.0
1953,134,0.0
1953,139,0.0
1953,141,0.0
1953,142,0.0
1953,143,0.0
1953,144,0.0
1953,145,0.0
1953,146,0.0
1953,147,0.0
1954,6,80.28
1954,87,0.0
1954,105,46.14
1954,109,0.0
1954,113,18.0
1954,114,6.0
1954,118,0.0
1954,125,0.0
1954,128,4.0
1954,129,0.0
1954,131,60.14
1954,132,1.0
1954,133,0.0
1954,134,0.0
1954,135,0.0
1954,136,0.0
1954,138,0.0
1954,139,0.0
1954,140,0.0
1955,6,33.99
1955,87,0.0
1955,105,23.0
1955,108,0.0
1955,109,0.0
1955,111,0.0
1955,113,21.0
1955,114,3.0
1955,118,0.0
1955,125,0.0
1955,128,0.0
1955,129,0.0
1955,131,79.0
1955,132,8.0
1955,133,0.0
1955,134,0.0
1955,135,0.0
1955,136,0.0
1955,137,0.0
1956,6,82.0
1956,66,0.0
1956,87,0.0
1956,99,0.0
1956,105,72.0
1956,107,8.0
1956,109,4.0
1956,110,0.0
1956,113,12.0
1956,114,0.0
1956,118,3.0
1956,125,9.0
1956,128,2.0
1956,129,0.0
1956,130,0.0
1957,6,48.0
1957,66,0.0
1957,87,2.0
1957,95,0.0
1957,105,78.0
1957,107,0.0
1957,108,15.0
1957,109,0.0
1957,110,0.0
1957,113,5.0
1957,114,4.0
1957,118,37.0
1957,120,0.0
1957,125,3.0
1958,6,93.0
1958,32,3.0
1958,66,24.0
1958,87,38.0
1958,95,0.0
1958,105,9.0
1958,107,0.0
1958,108,20.0
1958,109,0.0
1958,110,0.0
1958,113,4.0
1958,114,0.0
1958,118,68.0
1958,120,0.0
1958,125,0.0
1958,127,0.0
1959,6,67.0
1959,32,5.0
1959,66,22.5
1959,95,0.0
1959,101,0.0
1959,105,0.0
1959,107,14.0
1959,108,5.0
1959,109,0.0
1959,110,5.0
1959,113,0.0
1959,114,0.0
1959,115,0.0
1959,117,0.0
1959,118,0.0
1959,119,0.0
1959,120,0.0
1959,121,0.0
1959,122,0.0
1959,123,0.0
1959,124,0.0
1959,125,0.0
1959,167,0.0
1959,168,0.0
1959,169,0.0
1959,170,97.5
1960,6,43.0
1960,32,52.0
1960,66,8.0
1960,95,1.0
1960,101,0.0
1960,104,0.0
1960,105,0.0
1960,106,0.0
1960,107,14.0
1960,108,4.0
1960,109,3.0
1960,110,2.0
1960,111,1.0
1960,112,0.0
1960,113,0.0
1960,114,0.0
1960,115,0.0
1960,116,0.0
1960,117,0.0
1960,118,0.0
1960,167,3.0
1960,170,102.0
1960,171,3.0
1961,6,99.0
1961,66,9.0
1961,95,24.0
1961,97,0.0
1961,99,0.0
1961,101,0.0
1961,102,0.0
1961,103,0.0
1961,167,0.0
1961,170,24.0
1961,172,44.0
1961,173,0.0
1961,174,0.0
1961,175,0.0
1962,6,30.0
1962,26,19.0
1962,32,0.0
1962,34,6.0
1962,66,62.0
1962,86,0.0
1962,87,0.0
1962,89,0.0
1962,95,20.0
1962,97,0.0
1962,99,0.0
1962,100,0.0
1962,170,45.0
1962,172,42.0
1962,174,0.0
1962,175,0.0
1962,176,1.0
1962,177,0.0
1962,178,0.0
1963,6,27.0
1963,26,0.0
1963,32,0.0
1963,34,33.0
1963,51,0.0
1963,54,0.0
1963,66,65.0
1963,86,0.0
1963,89,0.0
1963,92,0.0
1963,94,6.0
1963,95,5.0
1963,97,0.0
1963,98,0.0
1963,167,0.0
1963,170,32.0
1963,172,74.0
1963,173,0.0
1963,176,4.0
1963,177,0.0
1963,179,0.0
1963,180,0.0
1964,6,64.0
1964,11,0.0
1964,66,70.0
1964,92,0.0
1964,94,5.0
1964,95,0.0
1964,96,0.0
1964,170,16.0
1964,172,49.0
1964,176,3.0
1964,181,7.0
1964,182,0.0
1964,183,36.0
1965,6,32.0
1965,11,13.0
1965,51,0.0
1965,66,81.0
1965,93,0.0
1965,167,0.0
1965,170,14.0
1965,172,64.0
1965,176,2.0
1965,180,0.0
1965,181,5.0
1965,182,0.0
1965,183,39.0
1965,184,0.0
1965,185,0.0
1965,186,0.0
1966,6,42.0
1966,11,3.0
1966,66,34.0
1966,91,0.0
1966,167,49.0
1966,172,8.0
1966,176,13.0
1966,181,1.0
1966,183,1.0
1966,187,2.0
1966,188,1.0
1966,189,4.0
1966,190,0.0
1966,191,63.0
1966,192,0.0
