raceId,driverId,lap,position,lap_time_str,lap_time_ms,lap_time_s
841,20,1,1,1:38.109,98109,98.109
841,20,2,1,1:33.006,93006,93.006
841,20,3,1,1:32.713,92713,92.713
841,20,4,1,1:32.803,92803,92.803
841,20,5,1,1:32.342,92342,92.342
841,20,6,1,1:32.605,92605,92.605
841,20,7,1,1:32.502,92502,92.502
841,20,8,1,1:32.537,92537,92.537
841,20,9,1,1:33.240,93240,93.24
841,20,10,1,1:32.572,92572,92.572
841,20,11,1,1:32.669,92669,92.669
841,20,12,1,1:32.902,92902,92.902
841,20,13,1,1:33.698,93698,93.698
841,20,14,3,1:52.075,112075,112.075
841,20,15,4,1:38.385,98385,98.385
841,20,16,2,1:31.548,91548,91.548
841,20,17,1,1:30.800,90800,90.8
841,20,18,1,1:31.810,91810,91.81
841,20,19,1,1:31.018,91018,91.018
841,20,20,1,1:31.055,91055,91.055
841,20,21,1,1:31.288,91288,91.288
841,20,22,1,1:31.084,91084,91.084
841,20,23,1,1:30.875,90875,90.875
841,20,24,1,1:32.240,92240,92.24
841,20,25,1,1:31.699,91699,91.699
841,20,26,1,1:31.328,91328,91.328
841,20,27,1,1:31.568,91568,91.568
841,20,28,1,1:31.113,91113,91.113
841,20,29,1,1:31.339,91339,91.339
841,20,30,1,1:31.054,91054,91.054
841,20,31,1,1:31.707,91707,91.707
841,20,32,1,1:31.611,91611,91.611
841,20,33,1,1:31.406,91406,91.406
841,20,34,1,1:31.871,91871,91.871
841,20,35,1,1:32.597,92597,92.597
841,20,36,1,1:53.737,113737,113.737
841,20,37,1,1:39.321,99321,99.321
841,20,38,1,1:33.632,93632,93.632
841,20,39,1,1:31.005,91005,91.005
841,20,40,1,1:30.530,90530,90.53
841,20,41,1,1:30.140,90140,90.14
841,20,42,1,1:30.419,90419,90.419
841,20,43,1,1:30.503,90503,90.503
841,20,44,1,1:29.844,89844,89.844
841,20,45,1,1:30.470,90470,90.47
841,20,46,1,1:30.669,90669,90.669
841,20,47,1,1:30.297,90297,90.297
841,20,48,1,1:30.471,90471,90.471
841,20,49,1,1:30.710,90710,90.71
841,20,50,1,1:30.732,90732,90.732
841,20,51,1,1:30.873,90873,90.873
841,20,52,1,1:31.087,91087,91.087
841,20,53,1,1:30.671,90671,90.671
841,20,54,1,1:30.656,90656,90.656
841,20,55,1,1:30.899,90899,90.899
841,20,56,1,1:29.962,89962,89.962
841,20,57,1,1:30.516,90516,90.516
841,20,58,1,1:31.946,91946,91.946
841,1,1,2,1:40.573,100573,100.573
841,1,2,2,1:33.774,93774,93.774
841,1,3,2,1:32.900,92900,92.9
841,1,4,2,1:32.582,92582,92.582
841,1,5,2,1:32.471,92471,92.471
841,1,6,2,1:32.434,92434,92.434
841,1,7,2,1:32.447,92447,92.447
841,1,8,2,1:32.310,92310,92.31
841,1,9,2,1:32.612,92612,92.612
841,1,10,2,1:33.121,93121,93.121
841,1,11,2,1:32.737,92737,92.737
841,1,12,2,1:32.795,92795,92.795
841,1,13,2,1:32.475,92475,92.475
841,1,14,1,1:32.984,92984,92.984
841,1,15,1,1:33.186,93186,93.186
841,1,16,1,1:52.039,112039,112.039
841,1,17,2,1:39.566,99566,99.566
841,1,18,2,1:31.823,91823,91.823
841,1,19,2,1:31.400,91400,91.4
841,1,20,2,1:31.194,91194,91.194
841,1,21,2,1:31.212,91212,91.212
841,1,22,2,1:31.524,91524,91.524
841,1,23,2,1:31.414,91414,91.414
841,1,24,2,1:31.564,91564,91.564
841,1,25,2,1:31.825,91825,91.825
841,1,26,2,1:31.419,91419,91.419
841,1,27,2,1:31.510,91510,91.51
841,1,28,2,1:32.267,92267,92.267
841,1,29,2,1:31.826,91826,91.826
841,1,30,2,1:31.149,91149,91.149
841,1,31,2,1:31.453,91453,91.453
841,1,32,2,1:34.258,94258,94.258
841,1,33,2,1:32.133,92133,92.133
841,1,34,2,1:32.016,92016,92.016
841,1,35,2,1:32.427,92427,92.427
841,1,36,2,1:53.298,113298,113.298
841,1,37,2,1:39.548,99548,99.548
841,1,38,2,1:31.013,91013,91.013
841,1,39,2,1:30.338,90338,90.338
841,1,40,2,1:31.200,91200,91.2
841,1,41,2,1:30.314,90314,90.314
841,1,42,2,1:30.421,90421,90.421
841,1,43,2,1:31.085,91085,91.085
841,1,44,2,1:31.175,91175,91.175
841,1,45,2,1:30.512,90512,90.512
841,1,46,2,1:30.508,90508,90.508
841,1,47,2,1:30.637,90637,90.637
841,1,48,2,1:30.785,90785,90.785
841,1,49,2,1:30.753,90753,90.753
841,1,50,2,1:31.010,91010,91.01
841,1,51,2,1:31.312,91312,91.312
841,1,52,2,1:31.629,91629,91.629
841,1,53,2,1:31.470,91470,91.47
841,1,54,2,1:31.789,91789,91.789
841,1,55,2,1:31.766,91766,91.766
841,1,56,2,1:31.813,91813,91.813
841,1,57,2,1:32.184,92184,92.184
841,1,58,2,1:34.576,94576,94.576
841,17,1,3,1:41.467,101467,101.467
841,17,2,3,1:33.725,93725,93.725
841,17,3,3,1:33.208,93208,93.208
841,17,4,3,1:32.933,92933,92.933
841,17,5,3,1:32.899,92899,92.899
841,17,6,3,1:32.916,92916,92.916
841,17,7,3,1:32.900,92900,92.9
841,17,8,3,1:33.262,93262,93.262
841,17,9,3,1:33.330,93330,93.33
841,17,10,3,1:34.248,94248,94.248
841,17,11,7,1:54.995,114995,114.995
841,17,12,8,1:40.221,100221,100.221
841,17,13,7,1:33.661,93661,93.661
841,17,14,7,1:34.118,94118,94.118
841,17,15,6,1:34.236,94236,94.236
841,17,16,5,1:32.497,92497,92.497
841,17,17,3,1:32.534,92534,92.534
841,17,18,3,1:32.905,92905,92.905
841,17,19,3,1:32.730,92730,92.73
841,17,20,3,1:32.529,92529,92.529
841,17,21,3,1:32.301,92301,92.301
841,17,22,3,1:32.342,92342,92.342
841,17,23,3,1:32.472,92472,92.472
841,17,24,3,1:32.746,92746,92.746
841,17,25,3,1:32.920,92920,92.92
841,17,26,6,1:51.733,111733,111.733
841,17,27,6,1:37.841,97841,97.841
841,17,28,5,1:31.348,91348,91.348
841,17,29,5,1:31.386,91386,91.386
841,17,30,5,1:30.924,90924,90.924
841,17,31,4,1:30.796,90796,90.796
841,17,32,4,1:30.397,90397,90.397
841,17,33,4,1:30.562,90562,90.562
841,17,34,4,1:30.474,90474,90.474
841,17,35,4,1:30.800,90800,90.8
841,17,36,3,1:30.496,90496,90.496
841,17,37,3,1:30.627,90627,90.627
841,17,38,3,1:30.482,90482,90.482
841,17,39,3,1:30.739,90739,90.739
841,17,40,3,1:31.670,91670,91.67
841,17,41,5,1:53.490,113490,113.49
841,17,42,5,1:37.445,97445,97.445
841,17,43,5,1:29.686,89686,89.686
841,17,44,5,1:30.108,90108,90.108
841,17,45,5,1:29.803,89803,89.803
841,17,46,5,1:29.804,89804,89.804
841,17,47,5,1:30.530,90530,90.53
841,17,48,5,1:30.122,90122,90.122
841,17,49,5,1:29.713,89713,89.713
841,17,50,5,1:29.600,89600,89.6
841,17,51,5,1:30.165,90165,90.165
841,17,52,5,1:29.825,89825,89.825
841,17,53,5,1:29.996,89996,89.996
841,17,54,5,1:29.695,89695,89.695
841,17,55,5,1:31.124,91124,91.124
841,17,56,5,1:30.203,90203,90.203
841,17,57,5,1:30.472,90472,90.472
841,17,58,5,1:32.279,92279,92.279
841,808,1,4,1:42.835,102835,102.835
841,808,2,4,1:34.363,94363,94.363
841,808,3,4,1:33.962,93962,93.962
841,808,4,4,1:33.729,93729,93.729
841,808,5,4,1:33.725,93725,93.725
841,808,6,4,1:33.573,93573,93.573
841,808,7,4,1:33.364,93364,93.364
841,808,8,4,1:33.315,93315,93.315
841,808,9,4,1:33.357,93357,93.357
841,808,10,4,1:33.615,93615,93.615
841,808,11,3,1:33.611,93611,93.611
841,808,12,3,1:34.156,94156,94.156
841,808,13,3,1:33.698,93698,93.698
841,808,14,2,1:33.152,93152,93.152
841,808,15,2,1:33.470,93470,93.47
841,808,16,4,1:53.795,113795,113.795
841,808,17,5,1:39.863,99863,99.863
841,808,18,4,1:32.045,92045,92.045
841,808,19,4,1:31.960,91960,91.96
841,808,20,4,1:32.214,92214,92.214
841,808,21,4,1:31.849,91849,91.849
841,808,22,4,1:32.341,92341,92.341
841,808,23,4,1:31.922,91922,91.922
841,808,24,4,1:32.517,92517,92.517
841,808,25,4,1:33.574,93574,93.574
841,808,26,3,1:31.929,91929,91.929
841,808,27,3,1:31.275,91275,91.275
841,808,28,3,1:31.263,91263,91.263
841,808,29,3,1:31.107,91107,91.107
841,808,30,3,1:31.479,91479,91.479
841,808,31,3,1:31.762,91762,91.762
841,808,32,3,1:32.260,92260,92.26
841,808,33,3,1:31.809,91809,91.809
841,808,34,3,1:31.413,91413,91.413
841,808,35,3,1:31.950,91950,91.95
841,808,36,5,1:54.357,114357,114.357
841,808,37,5,1:39.620,99620,99.62
841,808,38,5,1:31.265,91265,91.265
841,808,39,5,1:30.662,90662,90.662
841,808,40,5,1:30.713,90713,90.713
841,808,41,4,1:30.867,90867,90.867
841,808,42,3,1:30.525,90525,90.525
841,808,43,3,1:30.782,90782,90.782
841,808,44,3,1:30.856,90856,90.856
841,808,45,3,1:30.826,90826,90.826
841,808,46,3,1:31.333,91333,91.333
841,808,47,3,1:30.696,90696,90.696
841,808,48,3,1:30.885,90885,90.885
841,808,49,3,1:31.167,91167,91.167
841,808,50,3,1:30.671,90671,90.671
841,808,51,3,1:30.755,90755,90.755
841,808,52,3,1:30.158,90158,90.158
841,808,53,3,1:30.655,90655,90.655
841,808,54,3,1:30.631,90631,90.631
841,808,55,3,1:30.064,90064,90.064
841,808,56,3,1:30.192,90192,90.192
841,808,57,3,1:30.120,90120,90.12
841,808,58,3,1:30.767,90767,90.767
841,13,1,5,1:44.196,104196,104.196
841,13,2,5,1:34.485,94485,94.485
841,13,3,5,1:35.664,95664,95.664
841,13,4,5,1:33.900,93900,93.9
841,13,5,5,1:34.712,94712,94.712
841,13,6,5,1:33.700,93700,93.7
841,13,7,5,1:34.004,94004,94.004
841,13,8,5,1:33.833,93833,93.833
841,13,9,5,1:33.869,93869,93.869
841,13,10,5,1:34.490,94490,94.49
841,13,11,6,1:36.699,96699,96.699
841,13,12,5,1:34.662,94662,94.662
841,13,13,11,1:54.060,114060,114.06
841,13,14,12,1:40.250,100250,100.25
841,13,15,10,1:32.958,92958,92.958
841,13,16,7,1:32.749,92749,92.749
841,13,17,7,1:32.433,92433,92.433
841,13,18,7,1:33.492,93492,93.492
841,13,19,6,1:32.831,92831,92.831
841,13,20,6,1:32.661,92661,92.661
841,13,21,6,1:32.289,92289,92.289
841,13,22,6,1:32.321,92321,92.321
841,13,23,6,1:32.541,92541,92.541
841,13,24,6,1:32.450,92450,92.45
841,13,25,6,1:32.854,92854,92.854
841,13,26,5,1:32.724,92724,92.724
841,13,27,4,1:33.076,93076,93.076
841,13,28,4,1:32.914,92914,92.914
841,13,29,4,1:33.194,93194,93.194
841,13,30,4,1:33.265,93265,93.265
841,13,31,8,1:53.740,113740,113.74
841,13,32,7,1:39.973,99973,99.973
841,13,33,7,1:31.877,91877,91.877
841,13,34,7,1:31.644,91644,91.644
841,13,35,7,1:31.601,91601,91.601
841,13,36,7,1:31.884,91884,91.884
841,13,37,6,1:31.259,91259,91.259
841,13,38,6,1:31.263,91263,91.263
841,13,39,6,1:31.806,91806,91.806
841,13,40,6,1:31.291,91291,91.291
841,13,41,6,1:31.207,91207,91.207
841,13,42,6,1:31.093,91093,91.093
841,13,43,6,1:31.640,91640,91.64
841,13,44,6,1:31.490,91490,91.49
841,13,45,6,1:31.331,91331,91.331
841,13,46,6,1:31.378,91378,91.378
841,13,47,6,1:31.541,91541,91.541
841,13,48,10,1:53.006,113006,113.006
841,13,49,10,1:36.913,96913,96.913
841,13,50,10,1:29.451,89451,89.451
841,13,51,10,1:30.094,90094,90.094
841,13,52,10,1:32.456,92456,92.456
841,13,53,10,1:32.819,92819,92.819
841,13,54,9,1:30.070,90070,90.07
841,13,55,9,1:28.947,88947,88.947
841,13,56,9,1:29.770,89770,89.77
841,13,57,9,1:30.803,90803,90.803
841,13,58,9,1:31.822,91822,91.822
841,18,1,6,1:44.722,104722,104.722
841,18,2,6,1:34.139,94139,94.139
841,18,3,6,1:35.756,95756,95.756
841,18,4,6,1:33.818,93818,93.818
841,18,5,6,1:35.278,95278,95.278
841,18,6,6,1:33.291,93291,93.291
841,18,7,6,1:33.959,93959,93.959
841,18,8,6,1:34.021,94021,94.021
841,18,9,6,1:33.577,93577,93.577
841,18,10,6,1:34.653,94653,94.653
841,18,11,4,1:34.396,94396,94.396
841,18,12,4,1:33.199,93199,93.199
841,18,13,4,1:33.453,93453,93.453
841,18,14,4,1:33.615,93615,93.615
841,18,15,3,1:33.802,93802,93.802
841,18,16,3,1:34.897,94897,94.897
841,18,17,4,1:48.909,108909,108.909
841,18,18,6,1:40.864,100864,100.864
841,18,19,9,1:54.427,114427,114.427
841,18,20,12,1:39.911,99911,99.911
841,18,21,12,1:32.187,92187,92.187
841,18,22,12,1:32.018,92018,92.018
841,18,23,8,1:32.706,92706,92.706
841,18,24,8,1:31.732,91732,91.732
841,18,25,7,1:31.968,91968,91.968
841,18,26,7,1:31.173,91173,91.173
841,18,27,7,1:31.160,91160,91.16
841,18,28,7,1:31.143,91143,91.143
841,18,29,7,1:30.796,90796,90.796
841,18,30,7,1:31.672,91672,91.672
841,18,31,6,1:31.055,91055,91.055
841,18,32,6,1:31.265,91265,91.265
841,18,33,6,1:31.508,91508,91.508
841,18,34,6,1:31.615,91615,91.615
841,18,35,6,1:31.388,91388,91.388
841,18,36,6,1:31.459,91459,91.459
841,18,37,7,1:50.438,110438,110.438
841,18,38,7,1:39.626,99626,99.626
841,18,39,7,1:31.056,91056,91.056
841,18,40,7,1:30.585,90585,90.585
841,18,41,7,1:30.243,90243,90.243
841,18,42,7,1:30.403,90403,90.403
841,18,43,7,1:30.411,90411,90.411
841,18,44,7,1:30.228,90228,90.228
841,18,45,7,1:30.132,90132,90.132
841,18,46,7,1:30.177,90177,90.177
841,18,47,7,1:30.536,90536,90.536
841,18,48,6,1:30.548,90548,90.548
841,18,49,6,1:29.883,89883,89.883
841,18,50,6,1:30.645,90645,90.645
841,18,51,6,1:30.293,90293,90.293
841,18,52,6,1:30.098,90098,90.098
841,18,53,6,1:30.729,90729,90.729
841,18,54,6,1:30.554,90554,90.554
841,18,55,6,1:30.106,90106,90.106
841,18,56,6,1:30.289,90289,90.289
841,18,57,6,1:30.848,90848,90.848
841,18,58,6,1:31.203,91203,91.203
841,3,1,7,1:45.340,105340,105.34
841,3,2,7,1:35.808,95808,95.808
841,3,3,7,1:35.436,95436,95.436
841,3,4,7,1:35.810,95810,95.81
841,3,5,8,1:36.837,96837,96.837
841,3,6,8,1:34.856,94856,94.856
841,3,7,8,1:34.619,94619,94.619
841,3,8,8,1:34.624,94624,94.624
841,3,9,8,1:34.691,94691,94.691
841,3,10,8,1:34.021,94021,94.021
841,3,11,8,1:34.097,94097,94.097
841,3,12,6,1:34.862,94862,94.862
841,3,13,5,1:34.407,94407,94.407
841,3,14,5,1:34.135,94135,94.135
841,3,15,5,1:34.473,94473,94.473
841,3,16,8,1:54.239,114239,114.239
841,3,17,9,1:42.954,102954,102.954
841,3,18,9,1:34.939,94939,94.939
841,3,19,8,1:34.011,94011,94.011
841,3,20,8,1:33.614,93614,93.614
841,3,21,8,1:33.503,93503,93.503
841,3,22,8,1:34.600,94600,94.6
841,155,1,8,1:45.896,105896,105.896
841,155,2,9,1:37.118,97118,97.118
841,155,3,9,1:35.483,95483,95.483
