raceId,year,round,circuitId,date,safety_car
1,2009,1,1,2009-03-29,0
2,2009,2,2,2009-04-05,0
3,2009,3,17,2009-04-19,0
4,2009,4,3,2009-04-26,0
5,2009,5,4,2009-05-10,0
6,2009,6,6,2009-05-24,0
7,2009,7,5,2009-06-07,0
8,2009,8,9,2009-06-21,0
9,2009,9,20,2009-07-12,0
10,2009,10,11,2009-07-26,0
11,2009,11,12,2009-08-23,0
12,2009,12,13,2009-08-30,0
13,2009,13,14,2009-09-13,0
14,2009,14,15,2009-09-27,0
15,2009,15,22,2009-10-04,0
16,2009,16,18,2009-10-18,0
17,2009,17,24,2009-11-01,0
18,2008,1,1,2008-03-16,0
19,2008,2,2,2008-03-23,0
20,2008,3,3,2008-04-06,0
21,2008,4,4,2008-04-27,0
22,2008,5,5,2008-05-11,0
23,2008,6,6,2008-05-25,0
24,2008,7,7,2008-06-08,0
25,2008,8,8,2008-06-22,0
26,2008,9,9,2008-07-06,0
27,2008,10,10,2008-07-20,0
28,2008,11,11,2008-08-03,0
29,2008,12,12,2008-08-24,0
30,2008,13,13,2008-09-07,0
31,2008,14,14,2008-09-14,0
32,2008,15,15,2008-09-28,0
33,2008,16,16,2008-10-12,0
34,2008,17,17,2008-10-19,0
35,2008,18,18,2008-11-02,0
36,2007,1,1,2007-03-18,0
37,2007,2,2,2007-04-08,0
38,2007,3,3,2007-04-15,0
39,2007,4,4,2007-05-13,0
40,2007,5,6,2007-05-27,0
41,2007,6,7,2007-06-10,0
42,2007,7,19,2007-06-17,0
43,2007,8,8,2007-07-01,0
44,2007,9,9,2007-07-08,0
45,2007,10,20,2007-07-22,0
46,2007,11,11,2007-08-05,0
47,2007,12,5,2007-08-26,0
48,2007,13,14,2007-09-09,0
49,2007,14,13,2007-09-16,0
50,2007,15,16,2007-09-30,0
51,2007,16,17,2007-10-07,0
52,2007,17,18,2007-10-21,0
53,2006,1,3,2006-03-12,0
54,2006,2,2,2006-03-19,0
55,2006,3,1,2006-04-02,0
56,2006,4,21,2006-04-23,0
57,2006,5,20,2006-05-07,0
58,2006,6,4,2006-05-14,0
59,2006,7,6,2006-05-28,0
60,2006,8,9,2006-06-11,0
61,2006,9,7,2006-06-25,0
62,2006,10,19,2006-07-02,0
63,2006,11,8,2006-07-16,0
64,2006,12,10,2006-07-30,0
65,2006,13,11,2006-08-06,0
66,2006,14,5,2006-08-27,0
67,2006,15,14,2006-09-10,0
68,2006,16,17,2006-10-01,0
69,2006,17,22,2006-10-08,0
70,2006,18,18,2006-10-22,0
71,2005,1,1,2005-03-06,0
72,2005,2,2,2005-03-20,0
73,2005,3,3,2005-04-03,0
74,2005,4,21,2005-04-24,0
75,2005,5,4,2005-05-08,0
76,2005,6,6,2005-05-22,0
77,2005,7,20,2005-05-29,0
78,2005,8,7,2005-06-12,0
79,2005,9,19,2005-06-19,0
80,2005,10,8,2005-07-03,0
81,2005,11,9,2005-07-10,0
82,2005,12,10,2005-07-24,0
83,2005,13,11,2005-07-31,0
84,2005,14,5,2005-08-21,0
85,2005,15,14,2005-09-04,0
86,2005,16,13,2005-09-11,0
87,2005,17,18,2005-09-25,0
88,2005,18,22,2005-10-09,0
89,2005,19,17,2005-10-16,0
90,2004,1,1,2004-03-07,0
91,2004,2,2,2004-03-21,0
92,2004,3,3,2004-04-04,0
93,2004,4,21,2004-04-25,0
94,2004,5,4,2004-05-09,0
95,2004,6,6,2004-05-23,0
96,2004,7,20,2004-05-30,0
97,2004,8,7,2004-06-13,0
98,2004,9,19,2004-06-20,0
99,2004,10,8,2004-07-04,0
100,2004,11,9,2004-07-11,0
101,2004,12,10,2004-07-25,0
102,2004,13,11,2004-08-15,0
103,2004,14,13,2004-08-29,0
104,2004,15,14,2004-09-12,0
105,2004,16,17,2004-09-26,0
106,2004,17,22,2004-10-10,0
107,2004,18,18,2004-10-24,0
108,2003,1,1,2003-03-09,0
109,2003,2,2,2003-03-23,0
110,2003,3,18,2003-04-06,0
111,2003,4,21,2003-04-20,0
112,2003,5,4,2003-05-04,0
113,2003,6,70,2003-05-18,0
114,2003,7,6,2003-06-01,0
115,2003,8,7,2003-06-15,0
116,2003,9,20,2003-06-29,0
117,2003,10,8,2003-07-06,0
118,2003,11,9,2003-07-20,0
119,2003,12,10,2003-08-03,0
120,2003,13,11,2003-08-24,0
121,2003,14,14,2003-09-14,0
122,2003,15,19,2003-09-28,0
123,2003,16,22,2003-10-12,0
124,2002,1,1,2002-03-03,0
125,2002,2,2,2002-03-17,0
